"A1_S5";"A1_S6";"A2_S6";"A2_S7";"A3_S7";"A3_S8";"E1_S8";"E1_S9";"E1_SG_S15";"E2_S10";"E2_S9";"E2_SG_S16";"E3_SG_S17";"TP1a_S_S6";"TP1a_S14";"TP1a_S16";"TP1b_S_S7";"TP1b_S15";"TP1b_S17";"TP1c_S_S10";"TP2a_S_S8";"TP2a_S16";"TP2a_S18";"TP2b_S_S9";"TP2b_S17";"TP2b_S19";"TP2c_S_S11";"W1_S10";"W1_S11";"W1_SG_S12";"W2_S11";"W2_S13";"W2_SG_S13";"W3_SG_S14";"WA3_S12";"WA3_S14";"WE_S13";"WE_S15";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"19";"15";"8";"21";"17";"11";"0";"4";"543";"0";"0";"436";"263";"37";"8";"20";"153";"162";"309";"736";"11";"7";"36";"341";"24";"80";"3";"4";"3";"1";"3";"1";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiales_Incertae_Sedis";"Anderseniella";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiales_Incertae_Sedis";"Anderseniella"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"16";"1161";"7";"15";"1332";"688";"0";"0";"13";"25";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"SAR11_clade";"Clade_I";"Clade_Ia";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"SAR11_clade";"Clade_I";"Clade_Ia"
"0";"0";"0";"0";"0";"0";"0";"0";"2920";"0";"0";"265";"3";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"56";"57";"602";"27";"45";"1405";"839";"0";"0";"38";"63";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"AEGEAN-169_marine_group";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"AEGEAN-169_marine_group";NA
"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"17";"22";"796";"6";"6";"1341";"710";"0";"0";"29";"22";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"SAR11_clade";"Clade_I";"Clade_Ib";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"SAR11_clade";"Clade_I";"Clade_Ib"
"2";"12";"6";"7";"0";"1";"7";"18";"1341";"0";"0";"607";"476";"23";"2";"18";"13";"64";"93";"45";"15";"5";"36";"49";"5";"22";"0";"2";"1";"0";"2";"4";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA
"693";"1193";"214";"353";"131";"259";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Methyloligellaceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Methyloligellaceae";NA
"1";"0";"0";"0";"0";"0";"0";"0";"0";"1529";"1239";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"1";"1";"3";"7";"0";"0";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Tenacibaculum";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Tenacibaculum"
"2";"1";"2";"0";"0";"0";"12";"11";"829";"0";"0";"66";"9";"27";"23";"43";"41";"447";"776";"160";"75";"1";"21";"45";"21";"66";"3";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"Bacteria";"Dadabacteria";"Dadabacteriia";"Dadabacteriales";NA;NA;"Bacteria";"Dadabacteria";"Dadabacteriia";"Dadabacteriales";NA;NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"67";"93";"711";"82";"146";"884";"459";"0";"0";"71";"85";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Actinomarinales";"Actinomarinaceae";"Candidatus_Actinomarina";"Bacteria";"Actinobacteria";"Acidimicrobiia";"Actinomarinales";"Actinomarinaceae";"Candidatus_Actinomarina"
